id,amount,due_on
1,4753,2018-12-09
2,11742,2017-11-25
3,37373,2018-12-16
4,48308,2017-04-27
5,14894,2019-03-30
6,14021,2018-04-30
7,10396,2018-08-12
8,1835,2017-06-13
9,48423,2018-10-09
10,21410,2018-08-06
11,11758,2020-11-28
12,30794,2019-05-07
13,12324,2021-07-07
14,48625,2017-11-12
15,29423,2018-07-22
16,44533,2019-12-24
17,48677,2018-03-26
18,19000,2018-07-14
19,893,2018-07-17
20,5353,2019-03-04
21,127,2019-08-13
22,34310,2018-10-27
23,40463,2018-03-05
24,25284,2018-05-27
25,45750,2020-04-30
26,3846,2018-06-30
27,17596,2017-05-03
28,830,2019-08-22
29,6448,2018-10-13
30,46371,2018-05-02
31,3820,2019-06-27
32,25994,2018-07-26
33,51205,2018-02-20
34,23670,2019-11-15
35,18633,2021-04-28
36,2320,2020-04-09
37,43251,2020-11-21
38,46785,2020-09-26
39,50658,2020-10-15
40,15343,2020-08-24
41,,2020-12-21
42,16938,2019-08-23
43,13700,2019-08-28
44,13805,2018-05-27
45,696,
46,40883,2019-04-20
47,43187,2020-12-10
48,31281,2019-01-31
49,33843,2021-03-04
50,36060,2018-04-22
51,5301,2019-08-15
52,226,2019-03-06
53,49984,2019-11-18
54,19099,2020-04-14
55,43556,2018-10-01
56,38211,2021-07-07
57,21892,2021-02-24
58,42676,2021-10-17
59,33100,2019-08-21
60,,2017-07-01
61,11382,2018-11-16
62,3628,2021-03-28
63,20605,2018-01-08
64,47059,2021-09-27
65,37018,2017-08-27
66,25263,2021-02-25
67,44388,2020-01-17
68,7188,2017-06-13
69,34526,2020-06-16
70,3275,2018-05-12
71,36450,2018-12-01
72,48649,2019-03-25
73,7800,2019-05-24
74,3537,2019-01-05
75,19415,2021-07-18
76,8906,2020-02-19
77,8731,2021-03-22
78,19294,2020-04-24
79,24757,2017-05-29
80,5225,2018-10-20
81,26305,2021-07-10
82,25132,2019-04-07
83,30645,2019-11-07
84,40195,2020-01-23
85,23513,2018-03-23
86,16164,2020-02-28
87,11320,2019-08-15
88,4500,2018-04-16
89,21662,2020-09-28
90,46435,2017-10-12
91,25826,2018-06-02
92,20499,2018-04-24
93,8112,2020-01-09
94,33320,
95,35160,2018-08-06
96,29685,2020-02-13
97,43501,2018-08-31
98,47021,2018-04-28
99,14563,2017-06-01
100,14856,2021-03-01
101,30912,
102,12358,2019-09-07
103,30706,2017-07-11
104,46911,2019-08-24
105,32901,2021-08-17
106,40932,2020-08-03
107,1256,2020-07-25
108,42509,2018-02-14
109,41077,2019-04-28
110,14903,2019-01-08
