invoice id,invoice amount,due on
1,2766,4/11/2020
2,3384,10/1/2020
3,2329.5,2/7/2021
4,487,1/14/2020
5,3335.3,9/11/2019
6,107,10/28/2020
7,2381,3/13/2021
8,830,5/1/2020
9,4720,11/23/2020
10,767.1,7/23/2019
11,605.9,1/4/2020
12,3480.7,12/20/2020
13,37.9,11/28/2020
14,1065.8,1/4/2021
15,3383.1,3/13/2020
16,656.9,11/13/2020
17,2847.8,1/22/2020
18,3529.6,2/5/2021
19,2721.5,8/22/2020
20,4363.5,2/16/2021
21,2354.5,9/26/2020
22,3004.3,6/9/2020
23,865.8,9/16/2019
24,399,8/29/2019
25,3412.6,10/23/2019
26,4467.1,7/22/2019
,,
28,1261.8,8/30/2020
29,1238,2/29/2020
30,2943.4,1/14/2021
31,4127.5,10/26/2019
32,2809.7,9/13/2020
33,1286.9,10/12/2020
34,1806.7,10/24/2019
35,3758,12/18/2020
36,1770.9,2/2/2021
37,1036.2,3/3/2020
38,2341.2,6/10/2020
39,4113.1,11/30/2020
40,970.9,12/11/2019
41,2220.5,8/22/2019
42,1333.6,1/28/2021
43,2461.2,6/18/2020
44,3469.4,2/3/2020
45,4740.1,4/5/2020
46,2668.8,5/31/2020
47,2425.2,5/17/2020
48,1722.6,3/11/2020
49,1663.5,11/20/2019
50,884.7,8/2/2019
51,2890.5,4/25/2020
52,922.8,2/4/2021
53,1488.5,1/6/2020
54,4976,12/14/2019
55,3914,9/26/2020
56,4770.3,6/24/2020
57,385.9,1/3/2021
,,
59,2871.3,1/4/2020
60,2276.3,8/29/2019
61,4396,7/14/2019
62,2476.6,12/31/2019
63,3347.1,12/30/2019
64,2525.5,11/20/2020
65,2934.4,3/4/2020
66,1449.9,4/6/2020
67,2788.4,2/23/2021
68,1563.8,2/16/2020
69,1438.1,9/23/2020
70,2211.8,9/28/2019
71,2637,11/5/2019
72,3346.2,5/9/2020
73,4256.5,10/17/2019
74,2257.9,11/13/2020
75,428.9,1/10/2021
76,3343.9,7/3/2019
77,2456.1,9/1/2019
78,1923.8,11/10/2020
79,4862,1/5/2021
80,1705,1/5/2020
81,4387.6,2/11/2021
82,3984.7,11/9/2020
83,1980.5,12/31/2020
84,1316.4,4/22/2020
85,917.8,12/4/2020
86,1625.6,12/23/2019
87,707.4,10/10/2020
88,2107.2,2/28/2021
89,4374.9,4/7/2020
90,1686.4,10/5/2020
91,4573.2,7/23/2019
92,1572.9,10/25/2020
93,3299.9,8/15/2020
94,3127.8,6/17/2020
95,4794,12/2/2020
96,743.1,12/6/2019
97,3870.7,1/4/2020
98,2525.4,11/28/2020
99,4016,7/22/2019
100,3299,12/8/2019
101,2636.9,6/21/2020
102,2987,5/9/2020
103,1117.8,11/17/2020
104,466.2,1/17/2020
105,1052.3,11/19/2019
106,3353.8,7/8/2019
107,2085.3,7/30/2020
108,2453.6,9/28/2020
109,3384.6,9/12/2020
110,3639.1,6/15/2020
111,3465.3,7/1/2019
112,3897.6,7/6/2019
113,1228.2,3/13/2021
114,3868.7,7/6/2019
115,2360.7,4/22/2020
116,576.6,3/14/2020
117,2868.1,3/5/2020
118,1001.2,6/3/2020
119,114.7,3/19/2020
120,2593.9,1/26/2021
121,2305.7,12/7/2019
122,722.4,9/28/2019
123,2042.5,2/22/2020
124,4489.1,8/15/2020
125,3365.4,8/19/2019
126,1958.1,12/9/2019
127,3860.2,7/14/2019
128,1088.6,1/26/2021
129,1888.8,1/3/2021
130,2610.2,12/11/2020
131,1738.9,9/8/2019
132,3180.4,9/20/2020
133,615.5,11/11/2019
134,2326.6,10/30/2019
135,2732.4,12/15/2020
136,1598.9,7/25/2020
137,601.6,10/3/2019
138,3925.8,9/4/2020
139,3508,12/4/2020
140,1988,1/26/2020
141,1599,11/12/2020
142,42.1,8/21/2020
143,3189.2,12/5/2019
144,3234.4,3/1/2021
145,3735.6,4/9/2020
146,1029.8,3/23/2021
147,2418.7,2/4/2021
148,1406.1,3/27/2020
149,3210.9,4/11/2020
150,772.2,5/12/2020
151,4370.7,3/8/2020
